lag,vix_returns_corr,vix_unemployment_corr,returns_unemployment_corr
1,0.0399358671723232,0.8199798584105477,0.07200960192254309
2,0.03088796277230354,0.8185595133713447,0.0539035609846685
3,0.035792405918766375,0.8169940375665813,0.03688401764497262
4,0.03775997180407733,0.8159301400301582,0.04436803383719296
5,0.03259235642964116,0.8150902957188202,0.04891362016010332
6,0.03252593230805668,0.8142286658829849,0.05845164937662941
7,0.029819270399267857,0.812653272367115,0.06844527808688937
8,0.029554393646831323,0.8111859810089386,0.06604675848805834
9,0.03576718393862564,0.8096859037549842,0.055695791485448794
10,0.04083187776183994,0.808613519057277,0.05067779133430709
11,0.0364589813259031,0.8081682789583693,0.057414424059169605
12,0.031214024981379356,0.8080459799031676,0.055747596400757465
13,0.02868979742788824,0.8082336299797259,0.06805922408975704
14,0.0168795489605448,0.8091075779491954,0.07240467492871702
15,0.016624974545872806,0.8095252126508001,0.0654978008892184
16,0.023876256122230315,0.8099521124543786,0.07690344814728949
17,0.02411477092775968,0.8108402736209555,0.06498466689322774
18,0.019264730782609592,0.8108686437515139,0.07731105403434112
19,0.011540013043461457,0.8110859041873432,0.0814400907173707
20,0.015785410709695167,0.8111391691174824,0.08176556585380568
